"year_month","month_of_release","passenger_type","direction","sex","age","estimate","standard_error","status"
"2010-08","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2010-09","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2010-10","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2010-11","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",15,0,"Final"
"2010-12","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2011-01","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2011-02","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",6,0,"Final"
"2011-03","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2011-04","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2011-05","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2011-06","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",8,0,"Final"
"2011-07","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",4,0,"Final"
"2011-08","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",8,0,"Final"
"2011-09","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",3,0,"Final"
"2011-10","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2011-11","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2011-12","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2012-01","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",3,0,"Final"
"2012-02","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2012-03","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2012-04","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2012-05","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",1,0,"Final"
"2012-06","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2012-07","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",6,0,"Final"
"2012-08","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2012-09","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",8,0,"Final"
"2012-10","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2012-11","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",14,0,"Final"
"2012-12","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",18,0,"Final"
"2013-01","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",11,0,"Final"
"2013-02","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2013-03","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2013-04","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2013-05","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2013-06","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2013-07","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2013-08","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2013-09","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2013-10","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",8,0,"Final"
"2013-11","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",16,0,"Final"
"2013-12","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",16,0,"Final"
"2014-01","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2014-02","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",11,0,"Final"
"2014-03","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",8,0,"Final"
"2014-04","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2014-05","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",6,0,"Final"
"2014-06","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2014-07","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2014-08","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2014-09","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2014-10","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2014-11","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2014-12","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2015-01","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",11,0,"Final"
"2015-02","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",12,0,"Final"
"2015-03","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2015-04","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2015-05","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2015-06","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",11,0,"Final"
"2015-07","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2015-08","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2015-09","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",3,0,"Final"
"2015-10","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2015-11","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",16,0,"Final"
"2015-12","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2016-01","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2016-02","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2016-03","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",14,0,"Final"
"2016-04","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2016-05","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",6,0,"Final"
"2016-06","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",8,0,"Final"
"2016-07","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2016-08","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",12,0,"Final"
"2016-09","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",8,0,"Final"
"2016-10","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",19,0,"Final"
"2016-11","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",17,0,"Final"
"2016-12","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",16,0,"Final"
"2017-01","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2017-02","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",16,0,"Final"
"2017-03","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2017-04","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2017-05","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",14,0,"Final"
"2017-06","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",6,0,"Final"
"2017-07","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2017-08","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",16,0,"Final"
"2017-09","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2017-10","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",20,0,"Final"
"2017-11","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",17,0,"Final"
"2017-12","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",16,0,"Final"
"2018-01","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",6,0,"Final"
"2018-02","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2018-03","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2018-04","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2018-05","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2018-06","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",3,0,"Final"
"2018-07","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",4,0,"Final"
"2018-08","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",11,0,"Final"
"2018-09","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2018-10","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2018-11","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2018-12","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",17,0,"Final"
"2019-01","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",14,0,"Final"
"2019-02","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2019-03","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",6,0,"Final"
"2019-04","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2019-05","2020-09","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2019-06","2020-10","Long-term migrant","Arrivals","TOTAL","85-89 years",8,0,"Final"
"2019-07","2020-11","Long-term migrant","Arrivals","TOTAL","85-89 years",7,0,"Final"
"2019-08","2020-12","Long-term migrant","Arrivals","TOTAL","85-89 years",15,0,"Final"
"2019-09","2021-01","Long-term migrant","Arrivals","TOTAL","85-89 years",21,0,"Final"
"2019-10","2021-02","Long-term migrant","Arrivals","TOTAL","85-89 years",29,0,"Final"
"2019-11","2021-03","Long-term migrant","Arrivals","TOTAL","85-89 years",32,0,"Final"
"2019-12","2021-04","Long-term migrant","Arrivals","TOTAL","85-89 years",40,0,"Final"
"2020-01","2021-05","Long-term migrant","Arrivals","TOTAL","85-89 years",26,0,"Final"
"2020-02","2021-06","Long-term migrant","Arrivals","TOTAL","85-89 years",24,0,"Final"
"2020-03","2021-07","Long-term migrant","Arrivals","TOTAL","85-89 years",21,0,"Final"
"2020-04","2021-08","Long-term migrant","Arrivals","TOTAL","85-89 years",0,0,"Final"
"2020-05","2021-09","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2020-06","2021-10","Long-term migrant","Arrivals","TOTAL","85-89 years",0,0,"Final"
"2020-07","2021-11","Long-term migrant","Arrivals","TOTAL","85-89 years",2,0,"Final"
"2020-08","2021-12","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2020-09","2022-01","Long-term migrant","Arrivals","TOTAL","85-89 years",3,0,"Final"
"2020-10","2022-02","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2020-11","2022-03","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2020-12","2022-04","Long-term migrant","Arrivals","TOTAL","85-89 years",2,0,"Final"
"2021-01","2022-05","Long-term migrant","Arrivals","TOTAL","85-89 years",3,0,"Final"
"2021-02","2022-06","Long-term migrant","Arrivals","TOTAL","85-89 years",3,0,"Final"
"2021-03","2022-07","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2021-04","2022-08","Long-term migrant","Arrivals","TOTAL","85-89 years",18,0,"Final"
"2021-05","2022-09","Long-term migrant","Arrivals","TOTAL","85-89 years",17,0,"Final"
"2021-06","2022-10","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2021-07","2022-11","Long-term migrant","Arrivals","TOTAL","85-89 years",15,0,"Final"
"2021-08","2022-12","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2021-09","2023-01","Long-term migrant","Arrivals","TOTAL","85-89 years",1,0,"Final"
"2021-10","2023-02","Long-term migrant","Arrivals","TOTAL","85-89 years",2,0,"Final"
"2021-11","2023-03","Long-term migrant","Arrivals","TOTAL","85-89 years",5,0,"Final"
"2021-12","2023-04","Long-term migrant","Arrivals","TOTAL","85-89 years",3,0,"Final"
"2022-01","2023-05","Long-term migrant","Arrivals","TOTAL","85-89 years",2,0,"Final"
"2022-02","2023-06","Long-term migrant","Arrivals","TOTAL","85-89 years",6,0,"Final"
"2022-03","2023-07","Long-term migrant","Arrivals","TOTAL","85-89 years",14,0,"Final"
"2022-04","2023-08","Long-term migrant","Arrivals","TOTAL","85-89 years",19,0,"Final"
"2022-05","2023-09","Long-term migrant","Arrivals","TOTAL","85-89 years",14,0,"Final"
"2022-06","2023-10","Long-term migrant","Arrivals","TOTAL","85-89 years",17,0,"Final"
"2022-07","2023-11","Long-term migrant","Arrivals","TOTAL","85-89 years",12,0,"Final"
"2022-08","2023-12","Long-term migrant","Arrivals","TOTAL","85-89 years",18,0,"Final"
"2022-09","2024-01","Long-term migrant","Arrivals","TOTAL","85-89 years",19,0,"Final"
"2022-10","2024-02","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2022-11","2024-03","Long-term migrant","Arrivals","TOTAL","85-89 years",19,0,"Final"
"2022-12","2024-04","Long-term migrant","Arrivals","TOTAL","85-89 years",26,0,"Final"
"2023-01","2024-05","Long-term migrant","Arrivals","TOTAL","85-89 years",28,0,"Final"
"2023-02","2024-06","Long-term migrant","Arrivals","TOTAL","85-89 years",11,0,"Final"
"2023-03","2024-07","Long-term migrant","Arrivals","TOTAL","85-89 years",10,0,"Final"
"2023-04","2024-08","Long-term migrant","Arrivals","TOTAL","85-89 years",9,0,"Final"
"2023-05","2024-09","Long-term migrant","Arrivals","TOTAL","85-89 years",17,0,"Final"
"2023-06","2024-10","Long-term migrant","Arrivals","TOTAL","85-89 years",15,0,"Final"
"2023-07","2024-11","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Final"
"2023-08","2024-12","Long-term migrant","Arrivals","TOTAL","85-89 years",16,0,"Final"
"2023-09","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",11,0,"Final"
"2023-10","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",13,0,"Provisional"
"2023-11","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",21,0,"Provisional"
"2023-12","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",13,1,"Provisional"
"2024-01","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",19,1,"Provisional"
"2024-02","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",14,1,"Provisional"
"2024-03","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",17,2,"Provisional"
"2024-04","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",13,2,"Provisional"
"2024-05","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",14,2,"Provisional"
"2024-06","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",9,2,"Provisional"
"2024-07","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",10,2,"Provisional"
"2024-08","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",12,2,"Provisional"
"2024-09","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",18,4,"Provisional"
"2024-10","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",19,4,"Provisional"
"2024-11","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",22,5,"Provisional"
"2024-12","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",24,7,"Provisional"
"2025-01","2025-01","Long-term migrant","Arrivals","TOTAL","85-89 years",28,11,"Provisional"
"2001-01","2020-09","Long-term migrant","Arrivals","Female","90+ years",5,0,"Final"
"2001-02","2020-09","Long-term migrant","Arrivals","Female","90+ years",1,0,"Final"
"2001-03","2020-09","Long-term migrant","Arrivals","Female","90+ years",7,0,"Final"
"2001-04","2020-09","Long-term migrant","Arrivals","Female","90+ years",2,0,"Final"
"2001-05","2020-09","Long-term migrant","Arrivals","Female","90+ years",4,0,"Final"
"2001-06","2020-09","Long-term migrant","Arrivals","Female","90+ years",1,0,"Final"
"2001-07","2020-09","Long-term migrant","Arrivals","Female","90+ years",2,0,"Final"
"2001-10","2020-09","Long-term migrant","Arrivals","Female","90+ years",2,0,"Final"
"2001-11","2020-09","Long-term migrant","Arrivals","Female","90+ years",4,0,"Final"
"2001-12","2020-09","Long-term migrant","Arrivals","Female","90+ years",2,0,"Final"
"2002-01","2020-09","Long-term migrant","Arrivals","Female","90+ years",4,0,"Final"
"2002-02","2020-09","Long-term migrant","Arrivals","Female","90+ years",6,0,"Final"
"2002-03","2020-09","Long-term migrant","Arrivals","Female","90+ years",5,0,"Final"
"2002-04","2020-09","Long-term migrant","Arrivals","Female","90+ years",1,0,"Final"
"2002-05","2020-09","Long-term migrant","Arrivals","Female","90+ years",3,0,"Final"
"2002-06","2020-09","Long-term migrant","Arrivals","Female","90+ years",5,0,"Final"
"2002-07","2020-09","Long-term migrant","Arrivals","Female","90+ years",2,0,"Final"
"2002-08","2020-09","Long-term migrant","Arrivals","Female","90+ years",4,0,"Final"
"2002-09","2020-09","Long-term migrant","Arrivals","Female","90+ years",6,0,"Final"
"2002-10","2020-09","Long-term migrant","Arrivals","Female","90+ years",4,0,"Final"
"2002-11","2020-09","Long-term migrant","Arrivals","Female","90+ years",5,0,"Final"
"2002-12","2020-09","Long-term migrant","Arrivals","Female","90+ years",14,0,"Final"
"2003-01","2020-09","Long-term migrant","Arrivals","Female","90+ years",7,0,"Final"
"2003-02","2020-09","Long-term migrant","Arrivals","Female","90+ years",9,0,"Final"
"2003-03","2020-09","Long-term migrant","Arrivals","Female","90+ years",5,0,"Final"
"2003-04","2020-09","Long-term migrant","Arrivals","Female","90+ years",1,0,"Final"
"2003-05","2020-09","Long-term migrant","Arrivals","Female","90+ years",4,0,"Final"
"2003-06","2020-09","Long-term migrant","Arrivals","Female","90+ years",4,0,"Final"
"2003-07","2020-09","Long-term migrant","Arrivals","Female","90+ years",5,0,"Final"
"2003-08","2020-09","Long-term migrant","Arrivals","Female","90+ years",7,0,"Final"
"2003-09","2020-09","Long-term migrant","Arrivals","Female","90+ years",1,0,"Final"
"2003-10","2020-09","Long-term migrant","Arrivals","Female","90+ years",1,0,"Final"
"2003-11","2020-09","Long-term migrant","Arrivals","Female","90+ years",2,0,"Final"
"2003-12","2020-09","Long-term migrant","Arrivals","Female","90+ years",8,0,"Final"
"2004-01","2020-09","Long-term migrant","Arrivals","Female","90+ years",2,0,"Final"
"2004-02","2020-09","Long-term migrant","Arrivals","Female","90+ years",4,0,"Final"
"2004-03","2020-09","Long-term migrant","Arrivals","Female","90+ years",3,0,"Final"
"2004-04","2020-09","Long-term migrant","Arrivals","Female","90+ years",5,0,"Final"
